WARNING: crossbar sizes with different row annd column dimension not supported.

      ==> Functional simulator configurations:
          weight_bits=16
          weight_bit_frac=12
          input_bits=16
          input_bit_frac=12
          xbar_row_size=128
          xbar_col_size=128
          tile_row=2
          tile_col=2
          bit_stream=1
          bit_slice=2
          adc_bit=14
          acm_bits=32
          acm_bit_frac=24
          mvm=False
          non-ideality=False
          
xbmodel=NN_model(
  (fc1): Linear(in_features=16512, out_features=500, bias=True)
  (relu1): ReLU(inplace=True)
  (do2): Dropout(p=0.5, inplace=False)
  (fc3): Linear(in_features=500, out_features=128, bias=True)
)
          
xbmodel_weight_path=../xb_models/XB_128_stream1slice207dropout50epochs.pth.tar
          inmax_test=1.4
          inmin_test=0.826


DEVICE: cuda:0
GPU Id(s) being used: 1,2,3
==> Building model and model_mvm for resnet18 ...
WARNING: crossbar sizes with different row annd column dimension not supported.
==> Initializing model parameters ...
==> Load pretrained model form ../pretrained_models/ideal/resnet18fp_imnet.pth.tar ...
Pretrained model accuracy: 69.93189239501953
[103/782(13%)]	Loss 0.4802 (0.9749)	Prec@1 90.625 (77.329)	Prec@5 98.438 (92.578)
[104/782(13%)]	Loss 0.8350 (0.9736)	Prec@1 82.812 (77.381)	Prec@5 92.188 (92.574)
[105/782(13%)]	Loss 0.9337 (0.9732)	Prec@1 82.812 (77.432)	Prec@5 92.188 (92.571)
[106/782(14%)]	Loss 0.2374 (0.9663)	Prec@1 95.312 (77.599)	Prec@5 98.438 (92.626)
[107/782(14%)]	Loss 0.4675 (0.9617)	Prec@1 89.062 (77.705)	Prec@5 95.312 (92.650)
[108/782(14%)]	Loss 0.2647 (0.9553)	Prec@1 96.875 (77.881)	Prec@5 98.438 (92.704)
[109/782(14%)]	Loss 0.5620 (0.9517)	Prec@1 87.500 (77.969)	Prec@5 95.312 (92.727)
[110/782(14%)]	Loss 0.6114 (0.9487)	Prec@1 87.500 (78.055)	Prec@5 95.312 (92.751)
[111/782(14%)]	Loss 0.5414 (0.9450)	Prec@1 87.500 (78.139)	Prec@5 98.438 (92.801)
[112/782(14%)]	Loss 0.1993 (0.9384)	Prec@1 95.312 (78.291)	Prec@5 96.875 (92.837)
[113/782(14%)]	Loss 0.4188 (0.9339)	Prec@1 89.062 (78.385)	Prec@5 93.750 (92.845)
[114/782(15%)]	Loss 0.3036 (0.9284)	Prec@1 95.312 (78.533)	Prec@5 98.438 (92.894)
[115/782(15%)]	Loss 0.5721 (0.9253)	Prec@1 89.062 (78.623)	Prec@5 92.188 (92.888)
[116/782(15%)]	Loss 0.7146 (0.9235)	Prec@1 84.375 (78.673)	Prec@5 90.625 (92.869)
[117/782(15%)]	Loss 0.8929 (0.9233)	Prec@1 78.125 (78.668)	Prec@5 93.750 (92.876)
[118/782(15%)]	Loss 1.9037 (0.9315)	Prec@1 54.688 (78.466)	Prec@5 87.500 (92.831)
[119/782(15%)]	Loss 0.6255 (0.9290)	Prec@1 76.562 (78.451)	Prec@5 100.000 (92.891)
[120/782(15%)]	Loss 1.4950 (0.9336)	Prec@1 68.750 (78.370)	Prec@5 87.500 (92.846)
[121/782(15%)]	Loss 0.7688 (0.9323)	Prec@1 79.688 (78.381)	Prec@5 98.438 (92.892)
[122/782(16%)]	Loss 0.4582 (0.9284)	Prec@1 90.625 (78.481)	Prec@5 96.875 (92.924)
[123/782(16%)]	Loss 1.1435 (0.9302)	Prec@1 73.438 (78.440)	Prec@5 93.750 (92.931)
[124/782(16%)]	Loss 1.0461 (0.9311)	Prec@1 59.375 (78.288)	Prec@5 98.438 (92.975)
[125/782(16%)]	Loss 0.6701 (0.9290)	Prec@1 79.688 (78.299)	Prec@5 95.312 (92.994)
[126/782(16%)]	Loss 0.6658 (0.9269)	Prec@1 76.562 (78.285)	Prec@5 96.875 (93.024)
[127/782(16%)]	Loss 2.4683 (0.9390)	Prec@1 48.438 (78.052)	Prec@5 75.000 (92.883)
[128/782(16%)]	Loss 0.9682 (0.9392)	Prec@1 76.562 (78.040)	Prec@5 90.625 (92.866)
[129/782(16%)]	Loss 1.7570 (0.9455)	Prec@1 53.125 (77.849)	Prec@5 87.500 (92.825)
[130/782(17%)]	Loss 2.0032 (0.9536)	Prec@1 45.312 (77.600)	Prec@5 90.625 (92.808)
[131/782(17%)]	Loss 1.7464 (0.9596)	Prec@1 50.000 (77.391)	Prec@5 93.750 (92.815)
[132/782(17%)]	Loss 0.6153 (0.9570)	Prec@1 79.688 (77.408)	Prec@5 93.750 (92.822)
[133/782(17%)]	Loss 1.9474 (0.9644)	Prec@1 67.188 (77.332)	Prec@5 82.812 (92.747)
[134/782(17%)]	Loss 0.9045 (0.9639)	Prec@1 71.875 (77.292)	Prec@5 96.875 (92.778)
[135/782(17%)]	Loss 1.8382 (0.9704)	Prec@1 62.500 (77.183)	Prec@5 89.062 (92.750)
[136/782(17%)]	Loss 0.9694 (0.9704)	Prec@1 78.125 (77.190)	Prec@5 93.750 (92.758)
[137/782(18%)]	Loss 1.2163 (0.9721)	Prec@1 70.312 (77.140)	Prec@5 93.750 (92.765)
[138/782(18%)]	Loss 0.5347 (0.9690)	Prec@1 82.812 (77.181)	Prec@5 96.875 (92.795)
[139/782(18%)]	Loss 0.4405 (0.9652)	Prec@1 89.062 (77.266)	Prec@5 96.875 (92.824)
[140/782(18%)]	Loss 1.1995 (0.9669)	Prec@1 64.062 (77.172)	Prec@5 95.312 (92.841)
